term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
regulation of cell size	{'Il7r', 'Plek', 'Mtpn', 'Cln8', 'P2rx7', 'Actr3', 'Crabp2', 'Plxna1', 'Ngf', 'Vav1', 'Edn1', 'Cfl1', 'Fn1', 'Trpv2', 'Ccr5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.002	1.0	0.00044
regulation of cell-cell adhesion	{'Syk', 'Cd300a'}	1.0	1.0	1.0	1.0	0.0376	0.0014	6.09e-06	1.69e-06	4.09e-15
regulation of cell-matrix adhesion	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0013	0.0071	0.0384
regulation of cell-substrate adhesion	{'No common gene'}	0.0006799999999999999	0.00053	1.0	1.0	1.53e-05	0.0153	9.11e-06	0.00018999999999999998	0.0482
regulation of cellular biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.32e-07	1.0
regulation of cellular catabolic process	{'Dram1', 'Wdr91', 'P2rx7', 'Dab2', 'Lonrf3', 'Mefv', 'Htr2b', 'Zfand2a', 'Anxa2', 'Tlr2', 'Pkp1', 'Gba', 'Apobec1', 'Sdcbp', 'Atp13a2', 'Lrp1', 'Ptpn1', 'Npc1', 'Rnf180', 'Slc11a1', 'Tpcn2', 'Adam9', 'E2f1', 'Clu', 'Hmox1', 'Tnfrsf1b', 'Fam46c', 'Adam8', 'Atp6v0a1', 'Tnfaip3', 'Ctsc', 'Ctsa', 'Timp1', 'Pip4k2a', 'Gpx1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0077	1.0	0.0003
regulation of cellular component biogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0035	1.0	0.00026000000000000003	0.0086	0.0347
regulation of cellular component movement	{'No common gene'}	4.64e-09	2.2200000000000004e-08	1.0	1.0	2.53e-17	8.91e-12	5.69e-21	1.8999999999999998e-08	7.66e-06
regulation of cellular component organization	{'No common gene'}	0.0284	1.0	1.0	1.0	5.17e-08	0.0015	1.25e-16	1.3899999999999999e-08	0.0215
regulation of cellular component size	{'Capg', 'Prex1', 'Tlr2', 'Fmn1', 'P2rx7', 'Plxna1', 'Atp13a2', 'Nckap1l'}	1.0	1.0	1.0	1.0	0.0037	1.0	2.07e-07	1.0	0.0424
regulation of cellular extravasation	{'Ptafr', 'Selp'}	1.0	1.0	1.0	1.0	0.0257	0.0052	0.0112	1.0	1.1e-05
regulation of cellular localization	{'Fgr', 'P2rx7', 'Atp13a2', 'Lrp1', 'Itgam', 'Syk', 'Stac2', 'Lcp1', 'Dclk1', 'Cd300a'}	1.0	1.0	1.0	1.0	0.0378	1.0	9.68e-05	1.0	0.0008699999999999999
regulation of cellular macromolecule biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00044	1.0
regulation of cellular metabolic process	{'No common gene'}	1.0	1.0	1.0	1.0	0.0012	0.0183	3.56e-08	5.05e-10	2.16e-10
regulation of cellular process	{'No common gene'}	0.00057	0.002	1.0	0.004	9.11e-12	6.409999999999999e-09	2.7099999999999996e-28	8.920000000000002e-29	4.46e-08
regulation of cellular protein catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0306
regulation of cellular protein localization	{'Dab2', 'Actr3', 'Ccl2', 'Cemip', 'Hcls1', 'Mdfic', 'Atp13a2', 'Lrp1', 'Itgam', 'Ptpn1', 'Cfl1', 'Iqgap1', 'Trim29', 'Myo5a', 'Trem2', 'Rhog', 'Rab29', 'Fcer1g', 'Lif', 'Stac2', 'Ptgs2', 'Tgfb1', 'Lcp1', 'Dclk1', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0025	1.0	0.017
regulation of cellular protein metabolic process	{'No common gene'}	0.00013000000000000002	0.0072	1.0	1.0	4.51e-08	6e-06	2.37e-12	2.28e-07	0.0016
regulation of cellular response to growth factor stimulus	{'No common gene'}	4.48e-07	4.36e-05	1.0	1.0	1.28e-05	7.57e-05	0.0116	0.0338	0.0131
regulation of cellular response to insulin stimulus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0131	1.0	1.0
regulation of cellular response to oxidative stress	{'Tlr4', 'Psap', 'Itgam', 'Hk3', 'Gpx1', 'Hgf'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0365	1.0	0.0038
regulation of cellular response to stress	{'Ncf1', 'Psap', 'Prdx1', 'Dab2', 'Edn1', 'Hk3', 'Cdk6', 'Hgf', 'Mdfic', 'Tlr4', 'Bid', 'Wfs1', 'Taok3', 'Il1rn', 'Itgam', 'Ptpn1', 'Syk', 'Cd44', 'Clu', 'Rap2a', 'Il1a', 'Zeb2', 'Atf3', 'Fcgr2b', 'Sfrp1', 'Gadd45a', 'Ptgs2', 'Steap3', 'Hmga1', 'Gpx1', 'Erp29', 'Gdf6'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00099	1.0	1.03e-08
regulation of cellular response to vascular endothelial growth factor stimulus	{'Smoc2', 'Adamts12', 'Dcn', 'Ccbe1'}	0.0004	0.00047999999999999996	1.0	1.0	0.00067	1.0	1.0	1.0	1.0
regulation of ceramide biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0	1.0
regulation of chemokine (C-X-C motif) ligand 2 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.013999999999999999
regulation of chemokine biosynthetic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0373
regulation of chemokine production	{'Csf1r'}	1.0	0.006	1.0	1.0	0.0037	1.0	0.0325	2.1e-05	9.56e-10
regulation of chemokine secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
regulation of chemotaxis	{'No common gene'}	0.0119	0.0302	1.0	1.0	5.09e-06	0.00045999999999999996	0.0016	0.0026	1.1e-15
regulation of cholesterol transport	{'Apoe', 'Apoc1'}	1.0	0.0058	0.0018	0.0117	1.0	0.0098	1.0	1.0	1.0
regulation of chondrocyte differentiation	{'Glg1', 'Loxl2', 'Adamts12'}	0.0442	0.0071	1.0	1.0	0.0055	1.0	1.0	1.0	1.0
regulation of coagulation	{'Hpse', 'Procr'}	0.0069	1.0	1.0	1.0	1.0	0.00016	1.0	1.0	3.26e-06
regulation of collagen biosynthetic process	{'Pdgfb', 'Il6ra'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0059	0.0087
regulation of collagen metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0023	1.0
regulation of complement activation	{'Serping1', 'Cfh'}	0.0397	0.0423	1.0	1.0	0.0243	1.0	1.0	1.0	1.0
regulation of cysteine-type endopeptidase activity	{'Thbs1', 'Bid', 'Plaur', 'Bcl2l11', 'Tnfrsf1b', 'Arrb2', 'Lgmn', 'Mefv', 'Ptgs2', 'Gpx1', 'Hgf', 'Naip5', 'F2r', 'Naip2', 'Cd44', 'Ctsh', 'St18'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0028	1.0	6.65e-06
regulation of cysteine-type endopeptidase activity involved in apoptotic process	{'Thbs1', 'Bid', 'Plaur', 'Bcl2l11', 'Tnfrsf1b', 'Arrb2', 'Ptgs2', 'Gpx1', 'Hgf', 'Naip5', 'F2r', 'Naip2', 'Cd44', 'Ctsh', 'St18'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0029	1.0	6.44e-06
regulation of cytokine biosynthetic process	{'Cybb', 'Syk'}	1.0	1.0	1.0	1.0	0.0285	1.0	0.00026000000000000003	2.3e-05	2.49e-08
regulation of cytokine production	{'Nfam1', 'Cybb'}	1.0	0.0348	1.0	8.39e-06	2.22e-07	4.97e-10	6.889999999999999e-20	2.0400000000000003e-18	6.139999999999999e-40
regulation of cytokine production involved in immune response	{'Vsir', 'Fcer1g'}	1.0	1.0	1.0	0.0367	1.0	1.0	1.0	0.0006799999999999999	9.18e-05
regulation of cytokine production involved in inflammatory response	{'Mefv', 'Il1r2', 'Apod', 'Nos2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0429	0.0021
regulation of cytokine secretion	{'Fgr', 'Unc93b1', 'Syk', 'Cd300c2', 'Csf1r'}	1.0	1.0	1.0	1.0	0.0015	6.05e-05	6.46e-10	1.85e-07	1.19e-18
regulation of cytokine-mediated signaling pathway	{'Cd300lf', 'Cd74', 'Il1r2', 'Irf7', 'Syk', 'Parp14'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0424	0.00031
regulation of cytoskeleton organization	{'No common gene'}	1.0	1.0	1.0	1.0	0.00036	1.0	1.0	0.0088	0.0029
regulation of cytosolic calcium ion concentration	{'Cd38', 'Gpr35'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0381	0.0025	1.66e-05
regulation of defense response	{'No common gene'}	0.032	0.008	1.0	7.329999999999999e-05	2.8e-08	4.26e-06	8.89e-10	3.65e-25	9.880000000000001e-29
regulation of defense response to bacterium	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0246
regulation of defense response to virus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0321	1.0
regulation of dendritic cell antigen processing and presentation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0051
regulation of dendritic cell apoptotic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0246
regulation of dendritic cell cytokine production	{'Tlr9'}	1.0	1.0	1.0	1.0	1.0	0.0277	1.0	0.0085	0.0018
regulation of development, heterochronic	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0434	1.0
regulation of developmental growth	{'No common gene'}	1.0	1.0	1.0	1.0	0.018000000000000002	1.0	1.0	0.0344	0.00045
regulation of developmental process	{'No common gene'}	2.44e-08	2.08e-05	1.0	1.0	3.22e-17	7.95e-14	6.74e-18	4.66e-13	3e-07
regulation of dopaminergic neuron differentiation	{'n/a (just one condition)'}	0.0017	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
regulation of endocrine process	{'Runx1', 'Dab2', 'Inhbb', 'Rab11fip5', 'F2r', 'Lif', 'Rab8b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0143	1.0	0.0116
regulation of endocytosis	{'No common gene'}	1.0	1.0	0.0196	0.00011	2.8300000000000014e-05	8.24e-08	1.11e-10	0.00016	2.66e-14
regulation of endopeptidase activity	{'Mefv', 'Tnfrsf1b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00028	0.0073	5.98e-08
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	{'Ptpn1', 'Atf3', 'Erp29', 'Wfs1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0428	1.0	0.0446
regulation of endoplasmic reticulum unfolded protein response	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
regulation of endothelial cell apoptotic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.049
regulation of endothelial cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0026	1.0
regulation of endothelial cell migration	{'No common gene'}	0.0148	0.0123	1.0	1.0	0.0272	1.0	1.0	0.0029	0.00043
regulation of endothelial cell proliferation	{'Pdgfb', 'Dll4', 'Xdh'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0194	0.0408
regulation of eosinophil activation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0219
regulation of epithelial cell apoptotic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0038
regulation of epithelial cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0016	1.0
regulation of epithelial cell migration	{'No common gene'}	1.0	1.0	1.0	1.0	0.0277	1.0	0.0007599999999999999	0.0051	0.0003
regulation of epithelial cell proliferation	{'No common gene'}	0.002	1.0	1.0	1.0	1.0	1.0	0.0092	0.0352	3.7e-05
regulation of epithelial cell proliferation involved in lung morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0174	1.0
regulation of epithelial cell proliferation involved in prostate gland development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0295
regulation of epithelial to mesenchymal transition	{'No common gene'}	0.00022	1.0	1.0	1.0	0.0159	0.0235	0.0159	0.0078	0.0472
regulation of erythrocyte differentiation	{'Inpp5d', 'Spi1', 'Mafb'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0017	0.0289	0.0123
regulation of establishment of endothelial barrier	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0373
regulation of establishment of planar polarity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0112	1.0	1.0	1.0	1.0
regulation of establishment of protein localization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.520000000000001e-15
regulation of exocytosis	{'Fgr', 'Itgb2', 'Ptafr', 'Syk', 'Anxa1', 'Cd84', 'Cd300a'}	1.0	1.0	1.0	1.0	1.0	0.0354	4.88e-05	1.0	0.0002
regulation of extent of cell growth	{'Sema4d', 'Plxna1'}	1.0	1.0	1.0	1.0	0.04	1.0	1.0	1.0	0.0477
regulation of extracellular matrix assembly	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0107	1.0
regulation of extracellular matrix constituent secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00053	1.0
regulation of extracellular matrix organization	{'Tnfrsf1b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0294	0.0036	1.0
regulation of extrinsic apoptotic signaling pathway	{'No common gene'}	0.0196	1.0	1.0	1.0	1.0	1.0	9.54e-06	0.0311	3.5700000000000014e-05
regulation of extrinsic apoptotic signaling pathway in absence of ligand	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0382
regulation of extrinsic apoptotic signaling pathway via death domain receptors	{'Thbs1', 'Sfrp1', 'Tnfaip3', 'Hmox1', 'Lgals3', 'Gpx1', 'Hgf', 'Atf3', 'Tnfrsf23'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00018999999999999998	1.0	0.0007
regulation of fat cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0155	1.0	1.0
regulation of fatty acid metabolic process	{'n/a (just one condition)'}	1.0	0.0354	1.0	1.0	1.0	1.0	1.0	1.0	1.0
regulation of fatty acid transport	{'Thbs1', 'P2rx7', 'Edn1', 'Syk', 'Il1a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.01	1.0	0.0033
regulation of fibroblast proliferation	{'E2f1', 'Sphk1', 'Sfrp1', 'Nras', 'Tgif1', 'Tgfb1', 'Pdgfc', 'Ifi30', 'Fn1', 'Cdk6', 'Anxa2', 'Cd300a'}	1.0	1.0	1.0	1.0	1.0	1.0	3.71e-05	1.0	0.00022
regulation of focal adhesion assembly	{'Fmn1', 'Mmp14', 'Col16a1'}	1.0	1.0	1.0	1.0	0.033	1.0	0.012	1.0	1.0
regulation of gastrulation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0136	1.0	1.0
regulation of gene expression	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00054	1.0
regulation of generation of precursor metabolites and energy	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0229	1.0	1.0
regulation of glomerular filtration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0088
regulation of granulocyte chemotaxis	{'Nckap1l'}	1.0	1.0	1.0	1.0	0.0023	0.00091	0.0043	1.0	4.01e-07
regulation of granulocyte differentiation	{'Inpp5d', 'Hcls1', 'C1qc'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0447	0.0106	0.0335
regulation of granulocyte macrophage colony-stimulating factor production	{'Syk', 'Cd84', 'Tlr9'}	1.0	1.0	1.0	1.0	1.0	0.0059	1.0	1.0	0.0373
regulation of growth	{'No common gene'}	1.0	1.0	1.0	1.0	0.0009400000000000001	1.0	8.31e-06	0.00026000000000000003	0.0053
regulation of growth of symbiont in host	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
regulation of heart contraction	{'Cacna1c', 'Pde5a', 'Ctnna3', 'Ank2', 'Kcnd3', 'Gjc1', 'Thrb', 'Dmd', 'Cacnb2', 'Fgf13'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.03e-09	0.0013
regulation of heart rate	{'Cacna1c', 'Ank2', 'Ctnna3', 'Kcnd3', 'Dmd', 'Cacnb2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.72e-06	0.0299
regulation of heart rate by cardiac conduction	{'Cacna1c', 'Ank2', 'Ctnna3', 'Kcnd3', 'Cacnb2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.5e-06	0.0102
regulation of hematopoietic stem cell proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	0.0368	1.0	1.0	1.0
regulation of hemopoiesis	{'C1qc', 'Spi1', 'Tyrobp', 'Syk', 'Nfam1', 'Csf1r'}	1.0	1.0	1.0	1.0	7.46e-05	2.84e-07	8.070000000000001e-05	3.81e-12	5.7600000000000005e-12
regulation of hepatocyte growth factor receptor signaling pathway	{'n/a (just one condition)'}	1.0	0.0106	1.0	1.0	1.0	1.0	1.0	1.0	1.0
regulation of heterotypic cell-cell adhesion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
regulation of high voltage-gated calcium channel activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00049	1.0
regulation of high-density lipoprotein particle clearance	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	1.0
regulation of homotypic cell-cell adhesion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0311	1.0
regulation of hormone levels	{'No common gene'}	0.0288	1.0	1.0	1.0	1.0	1.0	1.0	0.0106	0.0027
regulation of hormone secretion	{'Ucp2', 'Cd38'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	0.0464	0.0487
regulation of humoral immune response	{'Fcgr2b'}	1.0	1.0	1.0	1.0	0.006	0.0368	1.0	0.0015	0.0054
regulation of hydrolase activity	{'No common gene'}	1.0	1.0	1.0	1.0	0.0036	0.0034	1.26e-05	2.89e-06	1.7399999999999999e-15
regulation of hypersensitivity	{'Fcgr1', 'Fcer1g', 'Fcgr3', 'Fcgr2b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.01	1.55e-05	0.0009
regulation of icosanoid secretion	{'P2rx7', 'Edn1', 'Syk', 'Il1a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0131	1.0	0.0028
regulation of immune effector process	{'Fgr', 'Itgb2'}	1.0	1.0	1.0	0.0007599999999999999	0.00036	4.38e-06	4.96e-07	2.86e-12	4.460000000000001e-19
regulation of immune response	{'Nfam1'}	1.0	0.0488	1.0	1.55e-12	5.06e-10	8.62e-14	8.09e-16	5.14e-29	1.94e-43
regulation of immune system process	{'Nfam1'}	1.0	0.0372	1.0	2.29e-14	4.12e-15	1.38e-19	6.66e-23	4.02e-35	7.649999999999998e-63
regulation of immunoglobulin mediated immune response	{'Fcgr1', 'Fcer1g', 'Fcgr3', 'Fcgr2b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0396	0.0039	0.0042
regulation of immunoglobulin production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0045
regulation of immunoglobulin secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0289
regulation of inflammatory response	{'No common gene'}	0.003	0.00058	1.0	0.0081	1.4099999999999999e-08	0.00098	9.86e-07	1.4300000000000002e-15	1.8600000000000003e-17
regulation of inflammatory response to antigenic stimulus	{'Fcgr2b', 'Fcgr3', 'Gpx1', 'Fcgr1', 'Fcer1g'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0359	1.0	0.0033
regulation of innate immune response	{'Fgr', 'Pik3ap1', 'Unc93b1', 'Myo1f'}	1.0	1.0	1.0	0.00056	0.002	8.39e-06	0.00011999999999999999	1.9e-12	1.7300000000000002e-17
regulation of inner ear auditory receptor cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0134	1.0
regulation of insulin receptor signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0182	1.0	1.0
regulation of insulin secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0463	1.0
regulation of integrin activation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446
regulation of integrin-mediated signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0221	1.0	1.0
regulation of interferon-alpha production	{'Havcr2', 'Tlr8'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0289	0.00011	0.0086
regulation of interferon-gamma production	{'Tlr8', 'Cd14', 'Havcr2', 'Tlr9', 'Slc11a1', 'Bcl3', 'Irf8', 'Il1b', 'Tlr7'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.82e-05	2.47e-07
regulation of interleukin-1 alpha secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0077
regulation of interleukin-1 beta production	{'Ccl3', 'Sphk1', 'Tlr2', 'Tlr4', 'P2rx7', 'Tnfaip3', 'Tlr8', 'Arrb2', 'Casp4', 'Mefv', 'F2r', 'Naip5', 'Ccr5'}	1.0	1.0	1.0	1.0	1.0	1.0	1.4300000000000005e-05	1.0	2.92e-09
regulation of interleukin-1 beta secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.69e-06
regulation of interleukin-1 production	{'Ccl3', 'Sphk1', 'Tlr4', 'Tlr2', 'P2rx7', 'Tnfaip3', 'Tlr8', 'Arrb2', 'Casp4', 'Havcr2', 'Mefv', 'F2r', 'Naip5', 'Ccr5', 'Anxa1'}	1.0	1.0	1.0	1.0	1.0	1.0	6.09e-06	1.0	1.71e-10
regulation of interleukin-1 secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.74e-06
regulation of interleukin-10 production	{'Fcgr2b'}	1.0	1.0	1.0	1.0	0.0206	0.0174	0.0181	0.0071	8.83e-05
regulation of interleukin-10 secretion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0147
regulation of interleukin-12 production	{'Unc93b1'}	1.0	1.0	1.0	1.0	1.0	0.0045	0.0296	0.00055	4.09e-06
regulation of interleukin-12 secretion	{'Unc93b1', 'Tnfrsf9', 'Tlr8'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00053	0.0415
regulation of interleukin-13 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0077
regulation of interleukin-17 production	{'Nckap1l', 'Ly9', 'Tlr2'}	1.0	1.0	1.0	1.0	1.0	0.0287	0.0322	1.0	0.0314
regulation of interleukin-18 production	{'Cd84', 'Tlr2', 'Tlr9'}	1.0	1.0	1.0	1.0	1.0	0.002	1.0	1.0	0.0109
regulation of interleukin-2 production	{'Runx1', 'Tnfaip3', 'Abl2', 'Cd83', 'Havcr2', 'Il1a', 'Anxa1', 'Cd276'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0143	1.0	0.0042
regulation of interleukin-3 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	1.0
regulation of interleukin-4 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0033
regulation of interleukin-5 production	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0335
regulation of interleukin-6 biosynthetic process	{'Inpp5d'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0112	0.0106	0.00047999999999999996
regulation of interleukin-6 production	{'Unc93b1'}	1.0	1.0	1.0	1.0	7.49e-05	0.0001	2.37e-07	3.58e-06	4.13e-17
regulation of interleukin-8 biosynthetic process	{'Bcl3', 'Tlr8', 'Tlr7'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0232	0.0088
regulation of interleukin-8 production	{'No common gene'}	1.0	1.0	1.0	1.0	0.0427	0.0075	0.0021	0.00027	5.97e-08
regulation of interleukin-8 secretion	{'Ssc5d', 'Anxa1', 'Tlr2'}	1.0	1.0	1.0	1.0	1.0	0.0199	0.00082	1.0	4.24e-05
regulation of intestinal cholesterol absorption	{'n/a (just one condition)'}	1.0	0.0305	1.0	1.0	1.0	1.0	1.0	1.0	1.0
regulation of intracellular protein transport	{'Cemip', 'Hcls1', 'Mdfic', 'Actr3', 'Ptgs2', 'Atp13a2', 'Ccl2', 'Rab29', 'Tgfb1', 'Ptpn1', 'Itgam', 'Lcp1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0237	1.0	0.0286
regulation of intracellular signal transduction	{'No common gene'}	6.52e-05	0.0017	1.0	1.0	2.28e-08	0.00037999999999999997	1.2500000000000001e-12	3.3700000000000004e-11	1.9799999999999998e-20
regulation of intracellular transport	{'Fgr', 'Hcls1', 'Itgam', 'Syk', 'Fcer1g', 'Fes', 'Lcp1', 'Cd300a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0008900000000000002	0.0165	0.0028
regulation of intrinsic apoptotic signaling pathway	{'Clu', 'Wfs1', 'Bid', 'Plaur', 'Bcl2l11', 'Ptgs2', 'Steap3', 'Ptpn1', 'Gpx1', 'Atf3', 'Erp29', 'Cd44'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0069	1.0	0.004
regulation of intrinsic apoptotic signaling pathway in response to DNA damage	{'Steap3', 'Cd74', 'Cd44'}	1.0	1.0	1.0	1.0	0.0386	1.0	1.0	1.0	0.0281
regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0243	1.0	1.0	1.0	1.0
regulation of ion transmembrane transport	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0244	2.19e-06	0.0042
regulation of ion transmembrane transporter activity	{'Ank2', 'Fgf14', 'Mef2c', 'Osr1', 'Kcnab1', 'Fhl1', 'Dmd', 'Cacnb2', 'Slmap', 'Atp1b2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.7399999999999995e-05	0.0255
